D;Cristiano Ronaldo;3000;1;25;30;1;2
D;Artur Cabral;5000;3;15;20;2;1
D;Di Maria;4000;2;20;25;3;3
D;David Neres;4500;4;30;35;1;1
D;Roger Schmit;3500;5;18;28;2;2
D;Morato;3800;1;22;27;3;3
D;João Neves;3600;3;19;29;1;2

C;João Cunha;123456789;2004-06-11;+351987654321;M;joaoCunha@gmail.com;1
C;Pedro Silva;987654321;2000-03-21;+351123456789;M;pedroSilva@gmail.com;2
C;Ana Sousa;456789123;1995-12-15;+351789456123;F;anaSousa@gmail.com;3
C;Maria Ferreira;321654987;1988-07-19;+351654321987;F;mariaFerreira@gmail.com;1
C;Luis Oliveira;789123456;1999-10-05;+351321654789;M;luisOliveira@gmail.com;2
C;Carlos Mendes;654987321;2001-11-11;+351456789123;M;carlosMendes@gmail.com;3
C;Rita Pereira;147258369;1994-09-17;+351258369147;F;ritaPereira@gmail.com;1
C;José Santos;963852741;1993-05-23;+351852741963;M;joseSantos@gmail.com;2
